ecoid,ecogroup
029XY071NV,29 22
029XY083NV,29 22
029XY124NV,29 22
029XY135NV,29 22
029XY149NV,29 22
029XY058NV,29 23
029XY066NV,29 23
029XY095NV,29 23
029XY101NV,29 23
029XY102NV,29 23
029XY103NV,29 23
029XY067NV,29 24
029XY078NV,29 24
029XY084NV,29 24
029XY089NV,29 24
029XY100NV,29 24
029XY109NV,29 24
029XY111NV,29 24
029XY140NV,29 24
029XY065NV,29 25
029XY070NV,29 25
029XY131NV,29 26
029XY040NV,29 27
029XY027NV,29 28
029XY043NV,29 28
029XY122NV,29 28
029XY015NV,29 29
029XY081NV,29 29
029XY036NV,29 30
029XY037NV,29 30
029XY038NV,29 30
029XY074NV,29 30
029XY107NV,29 30
029XY161NV,29 30
029XY013NV,29 31
029XY019NV,29 31
029XY077NV,29 31
029XY098NV,29 32
029XY165NV,29 32
029XY085NV,29 33
029XY169NV,29 33
029XY162NV,29 34
029XY168NV,29 34
029XY160NV,29 35
029XY166NV,29 35
029XY007NV,29 36
029XY171NV,29 37
029XY172NV,29 37
029XY096NV,29 38
029XY086NV,29 39
029XY097NV,29 39
029XY130NV,29 40
029XY041NV,29 41
029XY072NV,29 41
029XY001NV,29 Other
029XY002NV,29 Other
029XY025NV,29 Other
029XY026NV,29 Other
029XY044NV,29 Other
029XY060NV,29 Other
029XY154NV,29 Other
023XY031NV,23 1
023XY037NV,23 1
023XY059NV,23 1
023XY093NV,23 1
023XY021NV,23 1
023XY060NV,23 1
023XF081CA,23 1
023XF083CA,23 1
023XY017NV,23 2
023XY008NV,23 2
023XY014NV,23 2
023XY090NV,23 2
023XY079NV,23 3
023XY078NV,23 3
023XY044NV,23 4
023XY001NV,23 4
023XF093CA,23 4
023XY016NV,23 5
023XY094NV,23 5
023XY041NV,23 5
023XY007NV,23 5
023XY015NV,23 5
023XY022NV,23 5
023XY018NV,23 5
023XY042NV,23 5
023XY098NV,23 5
023XY043NV,23 5
023XY066NV,23 6
023XY061NV,23 6
023XY096NV,23 6
023XY054NV,23 6
023XY058NV,23 6
023XY050NV,23 6
023XY053NV,23 6
023XY064NV,23 6
023XY071NV,23 6
023XY084NV,23 6
023XY019NV,23 8
023XY065NV,23 8
023XY048NV,23 8
023XY006NV,23 9
023XY039NV,23 9
023XY020NV,23 9
023XY097NV,23 9
023XY057NV,23 9
023XY068NV,23 9
023XY038NV,23 9
023XY049NV,23 9
023XY082NV,23 9
023XY040NV,23 9
023XY051NV,23 9
023XY099NV,23 9
023XY101NV,23 9
023XY102NV,23 9
023XF082CA,23 9
023XF091CA,23 9
023XY047NV,23 10
023XY076NV,23 10
023XY088NV,23 10
023XY030NV,23 10
023XY063NV,23 10
023XY077NV,23 10
023XY075NV,23 10
023XY023NV,23 12
023XY003NV,23 12
023XF092CA,23 12
023XY052NV,23 13
023XF087CA,23 13
023XY011NV,23 14
023XY033NV,23 15
023XF084CA,23 15
023XY005NV,23 16
023XY010NV,23 16
023XY009NV,23 16
023XY013NV,23 16
023XY056NV,23 16
023XF088CA,23 16
023XY026NV,23 17
023XY069NV,23 17
023XY035NV,23 18
023XY045NV,23 18
023XY046NV,23 18
023XY095NV,23 19
023XY091NV,23 19
023XY036NV,23 20
023XY024NV,23 20
023XY028NV,23 23
023XY027NV,23 23
