ecogroup,groupname,grouptype,modal_site,pub_status
29 19,ATCA2/LECI4,DRG,029XY048NV,draft
29 20,SAVE4/ACHY,DRG,029XY018NV,draft
29 21,SAVE4/DISP,DRG,029XY076NV,draft
29 22,PIMO-JUOS/ARNO4,DRG,029XY069NV,draft
29 23,PIMO-JUOS/ARTRV,DRG,029XY066NV,draft
29 24,PIMO/JUOS/ARTRV-AMUT-QUERC,DRG,029XY078NV,draft
29 25,PIMO-JUOS/ARTRW,DRG,029XY065NV,draft
29 26,PIMO/ARAR8/POFE-ACPI2,DRG,029XY131NV,draft
29 27,CEIN-ARNO4,DRG,029XY040NV,draft
29 28,CELE3/ARTRV/ACHNA-LECI4,DRG,029XY027NV,draft
29 29,JUOS/ARNO4/ACHY,DRG,029XY081NV,draft
29 30,MESP2/ACHY,DRG,029XY036NV,draft
29 31,CORA/ACSP12-ACHY,DRG,029XY019NV,draft
29 32,AMUT-ARTRV/POFE,DRG,029XY098NV,draft
29 33,EPVI/ACSP12,DRG,029XY085NV,draft
29 34,GUSA-ARNO4/PLJA,DRG,029XY168NV,draft
29 35,PUST/ACSP12,DRG,029XY160NV,draft
29 36,YUBR/GRSP-EPNE-ATCA2/ACHY,DRG,029XY007NV,draft
29 37,QUTU2-AMUT/POFE,DRG,029XY172NV,draft
29 38,PIMO-ABCOC/AMUT/POFE,DRG,029XY096NV,draft
29 39,PIPOS/ARPA6/AMUT-QUGA-ARTRV,DRG,029XY086NV,draft
29 40,POTR5/SYOR2/ELTR7,DRG,029XY130NV,draft
29 41,ERNAN5-ATCA2/ACHY,DRG,029XY041NV,draft
29 Other,,DRG,,draft
30 1,,DRG,,draft
30 2,,DRG,,draft
30 3,,DRG,,draft
30 4,,DRG,,draft
30 5,,DRG,,draft
30 6,,DRG,,draft
30 7,,DRG,,draft
30 8,,DRG,,draft
30 9,,DRG,,draft
30 10,,DRG,,draft
30 11,,DRG,,draft
30 12,,DRG,,draft
30 13,,DRG,,draft
30 Minor,,DRG,,draft
